name, ra1, ra2, ra3, dec1, dec2, dec3, type, mag1, mag2, mag3, mag4, mag5, mag6, mag7, mag8, mag9
Hip000160, 0,  2, 2.81000, -69,   16, 9.10000,  B9V      , 8.68000, 8.71000, 8.71000, 8.73600, 8.75400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip000442, 0,  5, 20.0300, -21,   18, 55.1000,  B9V      , 8.38000, 8.42000, 99.9990, 99.9990, 99.9990, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip001191, 0, 14, 54.5000,  -9,   34, 10.4000,  B9V      , 5.77000, 5.83000, 5.93000, 5.97200, 5.94100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip002058, 0, 26, 3.69000,  20,    8, 48.6000,  B8       , 6.67000, 6.68000, 6.64500, 6.67500, 6.68700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip003541, 0, 45, 12.8300,  23,   35, 26.9000,  B8       , 7.40000, 7.38000, 7.33000, 7.36300, 7.33500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip003642, 0, 46, 38.4200,  14,    0, 11.4000,  B8       , 8.49000, 8.43000, 8.37000, 8.31900, 8.34300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip003741, 0, 48, 1.05000, -21,   43, 20.9000,  B9V      , 5.57000, 5.61000, 5.64800, 5.68700, 5.64400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip003798, 0, 48, 48.0200,  18,   18, 50.7000,  B9       , 7.93000, 7.91000, 7.84100, 7.87400, 7.88800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip003820, 0, 49, 3.81000, -42,   33, 42.4000,  B8V      , 7.58000, 7.68000, 7.75800, 7.84500, 7.86200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip005387, 1,  8, 55.8500,   9,   43, 50.0000,  B9       , 7.31000, 7.35000, 7.41700, 7.49100, 7.46600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip008306, 1, 47, 9.10000,  10,   50, 39.4000,  B9       , 7.05000, 7.06000, 6.98800, 7.05600, 7.03600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip008387, 1, 48, 10.9000,  16,   57, 20.3000,  B9.5V    , 5.86000, 5.88000, -99.999, -99.999, -99.999, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip008445, 1, 48, 51.8700, -50,   29, 0.10000,  B9V      , 7.64000, 7.67000, 7.65800, 7.69100, 7.70100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip008951, 1, 55, 18.3600,   6,   26, 14.1000,  B9       , 7.55000, 7.55000, 7.54700, 7.63300, 7.56300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip009022, 1, 56, 9.40000, -49,   50, 11.3000,  B8/B9V   , 6.37000, 6.43000, 6.49300, 6.52600, 6.51700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip011319, 2, 25, 41.4000,  10,   30, 21.7000,  B9       , 7.61000, 7.54000, 7.38200, 7.47400, 7.33900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip011900, 2, 33, 33.5600, -62,   35, 12.3000,  B9V      , 6.79000, 6.82000, 6.84700, 6.90400, 6.87500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip012377, 2, 39, 19.6300,  -2,    4, 22.0000,  B9V      , 7.84000, 7.82000, 7.76500, 7.81300, 7.80000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip012389, 2, 39, 31.7000, -64,   16, 54.4000,  B8V      , 6.55000, 6.60000, 6.63300, 6.71900, 6.67500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip012392, 2, 39, 34.7500,   1,   22, 7.20000,  B9       , 8.21000, 8.27000, 8.29300, 8.28900, 8.28300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip013327, 2, 51, 29.5700,  15,    4, 55.7000,  B7V      , 5.52000, 5.60000, 5.69100, 5.79400, 5.77800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip013629, 2, 55, 31.5600,   2,    1, 5.90000,  B8.5V    , 6.60000, 6.62000, 6.62400, 6.64900, 6.64600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip014143, 3,  2, 22.5100,   4,   21, 10.3000,  B7V      , 5.62000, 5.71000, 5.85500, 5.87600, 5.90000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip014764, 3, 10, 38.7800,  11,   52, 21.7000,  B8V      , 5.97000, 6.01000, 6.02700, 6.09100, 6.04900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip014898, 3, 12, 15.3800, -20,   37, 10.6000,  B3V      , 7.04000, 7.14000, 7.24100, 7.32200, 7.30800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip014972, 3, 13, 1.49000, -35,   56, 37.3000,  B8V      , 6.29000, 6.35000, 6.37700, 6.41900, 6.42200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip015251, 3, 16, 44.3900,  -3,   21, 50.3000,  B8       , 7.71000, 7.71000, 7.69100, 7.68700, 7.70300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip015378, 3, 18, 19.7800,  -9,   43, 53.6000,  B8       , 7.86000, 7.83000, 7.76100, 7.83500, 7.77400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip016368, 3, 30, 51.6800, -66,   29, 23.0000,  B8V      , 5.81000, 5.84000, 5.82300, 5.85900, 5.81400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip017280, 3, 42, 0.53000, -23,   38, 40.6000,  B9V      , 8.61000, 8.65000, 8.72000, 8.81600, 8.83000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip017734, 3, 47, 49.6000, -36,    6, 21.0000,  B8V      , 6.21000, 6.30000, 6.38600, 6.43200, 6.41700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip017900, 3, 49, 43.5200,  23,   42, 43.1000,  B8V      , 6.17000, 6.19000, 6.16300, 6.22500, 6.21600, -99.9990, -99.9990,  -99.9990, -99.9990 *iC Star_in_Cluster
Hip017982, 3, 50, 37.5500, -36,   25, 32.2000,  B9.5V    , 6.86000, 6.88000, 6.88400, 6.94200, 6.91600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip018169, 3, 53, 8.37000,  -6,   38, 1.50000,  B9       , 6.56000, 6.63000, 6.71000, 6.75100, 6.79000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip018183, 3, 53, 22.6900, -54,   51, 2.30000,  B5IV     , 7.75000, 7.86000, 7.98200, 8.02700, 8.07800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip018213, 3, 53, 38.9200, -34,   43, 56.3000,  B6V      , 5.11000, 5.23000, 5.39100, 5.44600, 5.45500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip018788, 4,  1, 32.0300,  -1,   32, 58.7000,  B5V      , 5.28000, 5.40000, 5.57000, 5.64800, 5.66200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip018842, 4,  2, 25.4200, -70,   16, 19.7000,  B9.5/A0V , 8.59000, 8.45000, 8.26500, 8.27600, 8.21000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip019438, 4,  9, 45.0600, -12,   33, 38.9000,  B9.5V    , 7.73000, 7.71000, 7.70500, 7.75500, 7.71600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip020244, 4, 20, 16.6300,   7,   51, 13.3000,  B8       , 7.95000, 7.77000, 7.71600, 7.75800, 7.74500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip020271, 4, 20, 42.8300,  -7,   35, 33.0000,  B5III    , 5.85000, 5.96000, 6.02600, 6.10900, 6.11300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip020600, 4, 24, 42.9500,  18,   54, 47.2000,  B8V      , 7.35000, 6.92000, 6.33800, 6.25400, 6.16400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip020789, 4, 27, 17.4500,  22,   59, 46.9000,  B7V      , 5.53000, 5.61000, 5.65400, 5.71200, 5.73700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip020857, 4, 28, 10.8000, -12,   15, 54.8000,  B9V      , 8.02000, 8.03000, 8.04000, 8.12700, 8.01100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip020884, 4, 28, 32.1100,   1,   22, 51.1000,  B3V      , 5.53000, 5.61000, 5.73000, 5.79200, 5.79400, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip021060, 4, 30, 50.1000, -44,   57, 13.5000,  B2IV-V   , 5.07000, 5.27000, 5.56700, 5.60900, 5.67500, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip021177, 4, 32, 24.4700,   0,   58, 48.6000,  B8       , 7.26000, 7.30000, 7.31500, 7.41300, 7.37200, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip021522, 4, 37, 17.0600, -23,    2, 55.0000,  B8V      , 7.67000, 7.74000, 7.82200, 7.92600, 7.90600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip021576, 4, 37, 59.1600, -20,   41, 16.9000,  B6V      , 7.26000, 7.36000, 7.47600, 7.59600, 7.55800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip021869, 4, 42, 8.15000, -37,   36, 48.6000,  B9.5V    , 6.93000, 6.94000, 6.94800, 6.97500, 6.94700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip022527, 4, 50, 52.0000,  28,   18, 50.8000,  B3V      , 7.53000, 7.11000, 6.71700, 6.68700, 6.62800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip022597, 4, 51, 43.3800,   9,   58, 30.3000,  B5V      , 6.11000, 6.04000, 5.85700, 5.82800, 5.86600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip022840, 4, 54, 50.7100,   0,   28, 1.80000,  B5V      , 5.98000, 6.08000, 6.15200, 6.30400, 6.24600, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip022913, 4, 55, 50.1600,  15,    2, 25.1000,  B9V      , 5.79000, 5.86000, 5.86100, 5.94200, 5.97000, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip023060, 4, 57, 44.6900, -14,   13, 54.8000,  B2V      , 6.15000, 6.36000, 6.64200, 6.77900, 6.80300, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip023130, 4, 58, 36.8800,  -4,   33, 33.2000,  B9       , 8.08000, 7.95000, 7.90800, 7.92600, 7.91900, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip023364, 5,  1, 26.3400,  -7,   10, 26.3000,  B3V      , 4.80000, 4.98000, 5.17800, 5.29500, 5.28100, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip023643, 5,  4, 54.5300,  -3,    2, 22.8000,  B5IV     , 6.04000, 6.14000, 6.25800, 6.31100, 6.34700, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
Hip023712, 5,  5, 53.4100,  26,   25, 47.8000,  B5       , 6.60000, 6.47000, 6.14300, 6.13600, 6.12800, -99.9990, -99.9990,  -99.9990, -99.9990 * Star
